Reference date, Total labor (index),Total material (index), Total sum excl. VAT (index),Total sum incl. VAT (index)
2015-01-01,86.8,90.37,89.23,89.23
2015-02-01,86.7,90.33,89.14,89.14
2015-03-01,86.7,90.29,89.1,89.1
2015-04-01,86.7,90.11,88.94,88.94
2015-05-01,86.7,90.2,89.01,89.01
2015-06-01,86.7,90.28,89.06,89.06
2015-07-01,88.34,90.32,89.68,89.68
2015-08-01,88.33,90.41,89.73,89.73
2015-09-01,88.33,90.51,89.79,89.79
2015-10-01,88.34,90.54,89.82,89.82
2015-11-01,88.34,90.41,89.71,89.71
2015-12-01,88.34,90.37,89.69,89.69
2016-01-01,88.68,90.49,89.88,89.88
2016-02-01,88.69,90.49,89.87,89.87
2016-03-01,88.68,90.52,89.87,89.87
2016-04-01,88.69,90.56,89.89,89.89
2016-05-01,88.69,90.79,90.04,90.04
2016-06-01,88.72,90.91,90.14,90.14
2016-07-01,89.73,90.93,90.51,90.51
2016-08-01,89.75,91.1,90.65,90.65
2016-09-01,89.75,91.07,90.63,90.63
2016-10-01,89.75,91.17,90.7,90.7
2016-11-01,89.75,91.32,90.8,90.8
2016-12-01,89.77,91.42,90.87,90.87
2017-01-01,90.77,92.23,91.76,91.76
2017-02-01,90.78,92.26,91.78,91.78
2017-03-01,90.84,92.58,92.02,92.02
2017-04-01,90.86,92.85,92.22,92.22
2017-05-01,90.85,92.91,92.24,92.24
2017-06-01,90.89,92.9,92.25,92.25
2017-07-01,91.75,92.86,92.54,92.54
2017-08-01,91.75,92.98,92.62,92.62
2017-09-01,91.75,93.15,92.72,92.72
2017-10-01,91.75,93.27,92.8,92.8
2017-11-01,91.75,93.58,93,93
2017-12-01,91.78,93.62,93.04,93.04
2018-01-01,93.17,94.56,94.14,94.14
2018-02-01,93.17,94.71,94.24,94.24
2018-03-01,93.17,94.87,94.34,94.34
2018-04-01,93.17,94.93,94.38,94.38
2018-05-01,93.17,95.16,94.52,94.52
2018-06-01,93.17,95.23,94.56,94.56
2018-07-01,93.17,95.52,94.76,94.76
2018-08-01,95.3,95.61,95.61,95.61
2018-09-01,95.3,95.67,95.65,95.65
2018-10-01,95.3,95.76,95.71,95.71
2018-11-01,95.3,95.77,95.73,95.73
2018-12-01,95.3,95.79,95.74,95.74
2019-01-01,95.04,96.43,96.05,96.05
2019-02-01,95.04,96.61,96.15,96.15
2019-03-01,95.1,96.86,96.29,96.29
2019-04-01,95.1,96.94,96.35,96.35
2019-05-01,95.1,97.68,96.82,96.82
2019-06-01,95.1,97.69,96.84,96.84
2019-07-01,97.86,97.68,97.84,97.84
2019-08-01,97.86,97.7,97.86,97.86
2019-09-01,97.86,97.87,97.96,97.96
2019-10-01,97.86,97.81,97.92,97.92
2019-11-01,97.86,97.77,97.88,97.88
2019-12-01,97.86,97.78,97.89,97.89
2020-01-01,97.78,98.05,98.01,98.01
2020-02-01,97.78,98.04,98,98
2020-03-01,97.78,98.62,98.34,98.34
2020-04-01,97.78,98.73,98.41,98.41
2020-05-01,97.78,98.62,98.32,98.32
2020-06-01,97.78,98.55,98.26,98.26
2020-07-01,97.81,98.64,98.33,98.33
2020-08-01,97.81,98.93,98.53,98.53
2020-09-01,97.81,99.01,98.57,98.57
2020-10-01,97.81,99.37,98.82,98.82
2020-11-01,97.81,99.39,98.83,98.83
2020-12-01,100.31,99.35,99.7,99.7
2021-01-01,100,100,100,100
2021-02-01,100,100.38,100.22,100.22
2021-03-01,100.17,101.18,100.76,100.76
2021-04-01,100.34,102.05,101.34,101.34
2021-05-01,100.34,102.69,101.71,101.71
2021-06-01,101.11,103.8,102.68,102.68
2021-07-01,101.32,106.15,104.14,104.14
2021-08-01,100.56,106.26,103.89,103.89
2021-09-01,100.57,106.6,104.1,104.1
2021-10-01,100.57,107.27,104.49,104.49
2021-11-01,100.58,107.46,104.6,104.6
2021-12-01,100.59,107.58,104.68,104.68
2022-01-01,102.54,109.94,106.87,106.87
2022-02-01,102.55,112.53,108.38,108.38
2022-03-01,102.69,114.22,109.43,109.43
2022-04-01,102.72,115.89,110.42,110.42
2022-05-01,102.72,117.44,111.32,111.32
2022-06-01,102.72,117.63,111.43,111.43
2022-07-01,103.15,117.98,111.81,111.81
2022-08-01,103.15,119.75,112.85,112.85
2022-09-01,103.68,119.91,113.16,113.16
2022-10-01,103.68,120.46,113.48,113.48
2022-11-01,103.75,120.8,113.71,113.71
2022-12-01,103.87,119.66,113.09,113.09
2023-01-01,107.68,121.34,115.66,115.66
2023-02-01,107.69,123.39,116.87,116.87
2023-03-01,108.28,123.95,117.44,117.44
2023-04-01,108.28,124.01,117.47,117.47
2023-05-01,108.28,124.22,117.6,117.6
