"Perioden","Index","Componenten"
2018-01-01,100,"Bouwkosten totaal"
2018-01-01,100,"Concrete reinforcing bars (steel)"
2018-01-01,100,"Construction steel"
2018-01-01,100,"Diesel"
2018-01-01,100,"Energie"
2018-01-01,100,"Giet_beton"
2018-01-01,99.4328922495274,"Looncomponent"
2018-01-01,100.570342205323,"Materiaalcomponent"
2018-01-01,100,"Pre-cast concrete products"
2018-01-01,100,"Ready-mixed concrete **"
2018-01-01,100,"Reinforcing steel"
2018-01-01,100,"Reinforcing steel bars"
2018-01-01,100,"Reinforcing steel nets"
2018-02-01,100.380228136882,"Bouwkosten totaal"
2018-02-01,104.241913922117,"Concrete reinforcing bars (steel)"
2018-02-01,99.3836671802774,"Construction steel"
2018-02-01,100.233826968044,"Diesel"
2018-02-01,100.038509675556,"Energie"
2018-02-01,100,"Giet_beton"
2018-02-01,99.7156398104265,"Looncomponent"
2018-02-01,100.189035916824,"Materiaalcomponent"
2018-02-01,103.771827306476,"Pre-cast concrete products"
2018-02-01,94.2788532222495,"Ready-mixed concrete **"
2018-02-01,99.611646418098,"Reinforcing steel"
2018-02-01,99.6111436950147,"Reinforcing steel bars"
2018-02-01,99.6121491411814,"Reinforcing steel nets"
2018-03-01,99.5274102079395,"Bouwkosten totaal"
2018-03-01,102.4009757585,"Concrete reinforcing bars (steel)"
2018-03-01,99.8459167950693,"Construction steel"
2018-03-01,98.3632112236945,"Diesel"
2018-03-01,100.086646770001,"Energie"
2018-03-01,100,"Giet_beton"
2018-03-01,100,"Looncomponent"
2018-03-01,100,"Materiaalcomponent"
2018-03-01,105.454411926707,"Pre-cast concrete products"
2018-03-01,97.640117267981,"Ready-mixed concrete **"
2018-03-01,99.741935483871,"Reinforcing steel"
2018-03-01,99.8451612903226,"Reinforcing steel bars"
2018-03-01,99.6387096774193,"Reinforcing steel nets"
2018-04-01,100.094786729858,"Bouwkosten totaal"
2018-04-01,106.156119362209,"Concrete reinforcing bars (steel)"
2018-04-01,98.613251155624,"Construction steel"
2018-04-01,100.389711613406,"Diesel"
2018-04-01,99.6726677577741,"Energie"
2018-04-01,100,"Giet_beton"
2018-04-01,99.4328922495274,"Looncomponent"
2018-04-01,100.855513307985,"Materiaalcomponent"
2018-04-01,99.4360712482873,"Pre-cast concrete products"
2018-04-01,99.0264759778419,"Ready-mixed concrete **"
2018-04-01,98.7708420611646,"Reinforcing steel"
2018-04-01,98.8469208211144,"Reinforcing steel bars"
2018-04-01,98.6947633012149,"Reinforcing steel nets"
2018-05-01,100.570342205323,"Bouwkosten totaal"
2018-05-01,108.033520462127,"Concrete reinforcing bars (steel)"
2018-05-01,97.0724191063174,"Construction steel"
2018-05-01,103.663289166017,"Diesel"
2018-05-01,99.942235486666,"Energie"
2018-05-01,100,"Giet_beton"
2018-05-01,99.7156398104265,"Looncomponent"
2018-05-01,100.47258979206,"Materiaalcomponent"
2018-05-01,102.664147667278,"Pre-cast concrete products"
2018-05-01,92.4622173193602,"Ready-mixed concrete **"
2018-05-01,97.8001675743611,"Reinforcing steel"
2018-05-01,97.9008797653959,"Reinforcing steel bars"
2018-05-01,97.6994553833263,"Reinforcing steel nets"
2018-06-01,100.189035916824,"Bouwkosten totaal"
2018-06-01,103.786333055824,"Concrete reinforcing bars (steel)"
2018-06-01,96.1479198767334,"Construction steel"
2018-06-01,107.560405300078,"Diesel"
2018-06-01,100.519880620006,"Energie"
2018-06-01,100,"Giet_beton"
2018-06-01,100,"Looncomponent"
2018-06-01,101.232227488152,"Materiaalcomponent"
2018-06-01,105.082438692397,"Pre-cast concrete products"
2018-06-01,96.1824981520856,"Ready-mixed concrete **"
2018-06-01,97.1508169250105,"Reinforcing steel"
2018-06-01,96.991788856305,"Reinforcing steel bars"
2018-06-01,97.309844993716,"Reinforcing steel nets"
2018-07-01,101.042654028436,"Bouwkosten totaal"
2018-07-01,109.178934313453,"Concrete reinforcing bars (steel)"
2018-07-01,97.6887519260401,"Construction steel"
2018-07-01,105.76773187841,"Diesel"
2018-07-01,103.023009531145,"Energie"
2018-07-01,100,"Giet_beton"
2018-07-01,100.378071833648,"Looncomponent"
2018-07-01,101.71102661597,"Materiaalcomponent"
2018-07-01,99.7409926933737,"Pre-cast concrete products"
2018-07-01,98.0491962553884,"Ready-mixed concrete **"
2018-07-01,98.5739421868454,"Reinforcing steel"
2018-07-01,98.3131964809384,"Reinforcing steel bars"
2018-07-01,98.8346878927524,"Reinforcing steel nets"
2018-08-01,101.996197718631,"Bouwkosten totaal"
2018-08-01,114.248084630309,"Concrete reinforcing bars (steel)"
2018-08-01,99.2295839753467,"Construction steel"
2018-08-01,105.923616523772,"Diesel"
2018-08-01,103.051891787812,"Energie"
2018-08-01,101.169590643275,"Giet_beton"
2018-08-01,101.800947867299,"Looncomponent"
2018-08-01,101.323251417769,"Materiaalcomponent"
2018-08-01,103.2288756132,"Pre-cast concrete products"
2018-08-01,90.5449204237156,"Ready-mixed concrete **"
2018-08-01,99.7402597402597,"Reinforcing steel"
2018-08-01,99.6363636363636,"Reinforcing steel bars"
2018-08-01,99.8441558441558,"Reinforcing steel nets"
2018-09-01,101.79584120983,"Bouwkosten totaal"
2018-09-01,109.204413087741,"Concrete reinforcing bars (steel)"
2018-09-01,98.4591679506934,"Construction steel"
2018-09-01,107.092751363991,"Diesel"
2018-09-01,103.504380475594,"Energie"
2018-09-01,101.169590643275,"Giet_beton"
2018-09-01,102.091254752852,"Looncomponent"
2018-09-01,102.464454976303,"Materiaalcomponent"
2018-09-01,105.320407924727,"Pre-cast concrete products"
2018-09-01,96.4274450913524,"Ready-mixed concrete **"
2018-09-01,99.0280687054881,"Reinforcing steel"
2018-09-01,98.8973607038123,"Reinforcing steel bars"
2018-09-01,99.1587767071638,"Reinforcing steel nets"
2018-10-01,101.895734597156,"Bouwkosten totaal"
2018-10-01,118.766179601598,"Concrete reinforcing bars (steel)"
2018-10-01,96.7642526964561,"Construction steel"
2018-10-01,108.96336710834,"Diesel"
2018-10-01,104.178299797824,"Energie"
2018-10-01,101.169590643275,"Giet_beton"
2018-10-01,101.606805293006,"Looncomponent"
2018-10-01,102.186311787072,"Materiaalcomponent"
2018-10-01,99.5576615870623,"Pre-cast concrete products"
2018-10-01,99.4671773592935,"Ready-mixed concrete **"
2018-10-01,97.8617511520737,"Reinforcing steel"
2018-10-01,97.5741935483871,"Reinforcing steel bars"
2018-10-01,98.1493087557604,"Reinforcing steel nets"
2018-11-01,101.996197718631,"Bouwkosten totaal"
2018-11-01,123.933672121466,"Concrete reinforcing bars (steel)"
2018-11-01,96.3020030816641,"Construction steel"
2018-11-01,109.976617303196,"Diesel"
2018-11-01,105.959372292288,"Energie"
2018-11-01,101.169590643275,"Giet_beton"
2018-11-01,101.895734597156,"Looncomponent"
2018-11-01,101.323251417769,"Materiaalcomponent"
2018-11-01,103.543509378733,"Pre-cast concrete products"
2018-11-01,93.7212569058366,"Ready-mixed concrete **"
2018-11-01,97.9266862170088,"Reinforcing steel"
2018-11-01,97.6651026392962,"Reinforcing steel bars"
2018-11-01,98.1882697947214,"Reinforcing steel nets"
2018-12-01,101.701323251418,"Bouwkosten totaal"
2018-12-01,121.942558746736,"Concrete reinforcing bars (steel)"
2018-12-01,95.6856702619415,"Construction steel"
2018-12-01,103.975058456742,"Diesel"
2018-12-01,105.66092230673,"Energie"
2018-12-01,101.169590643275,"Giet_beton"
2018-12-01,102.186311787072,"Looncomponent"
2018-12-01,102.18009478673,"Materiaalcomponent"
2018-12-01,105.565859052541,"Pre-cast concrete products"
2018-12-01,96.6736428235005,"Ready-mixed concrete **"
2018-12-01,97.4754922496858,"Reinforcing steel"
2018-12-01,97.4463343108504,"Reinforcing steel bars"
2018-12-01,97.5046501885211,"Reinforcing steel nets"
2019-01-01,102.938388625592,"Bouwkosten totaal"
2019-01-01,98.0750721847931,"Concrete reinforcing bars (steel)"
2019-01-01,94.6070878274268,"Construction steel"
2019-01-01,98.8308651597818,"Diesel"
2019-01-01,117.387118513527,"Energie"
2019-01-01,101.169590643275,"Giet_beton"
2019-01-01,101.79584120983,"Looncomponent"
2019-01-01,104.087452471483,"Materiaalcomponent"
2019-01-01,103.918367346939,"Pre-cast concrete products"
2019-01-01,100.165975103734,"Ready-mixed concrete **"
2019-01-01,96.8278173439464,"Reinforcing steel"
2019-01-01,96.7460410557185,"Reinforcing steel bars"
2019-01-01,96.9095936321743,"Reinforcing steel nets"
2019-02-01,103.231939163498,"Bouwkosten totaal"
2019-02-01,103.839823608049,"Concrete reinforcing bars (steel)"
2019-02-01,95.5315870570108,"Construction steel"
2019-02-01,103.117692907249,"Diesel"
2019-02-01,117.589294310195,"Energie"
2019-02-01,101.169590643275,"Giet_beton"
2019-02-01,102.085308056872,"Looncomponent"
2019-02-01,103.497164461248,"Materiaalcomponent"
2019-02-01,107.969716760621,"Pre-cast concrete products"
2019-02-01,94.6681135576014,"Ready-mixed concrete **"
2019-02-01,98.3808127356514,"Reinforcing steel"
2019-02-01,98.2492668621701,"Reinforcing steel bars"
2019-02-01,98.5123586091328,"Reinforcing steel nets"
2019-03-01,102.741020793951,"Bouwkosten totaal"
2019-03-01,99.6883671291355,"Concrete reinforcing bars (steel)"
2019-03-01,96.3020030816641,"Construction steel"
2019-03-01,106.079501169135,"Diesel"
2019-03-01,116.838355636854,"Energie"
2019-03-01,101.169590643275,"Giet_beton"
2019-03-01,102.376425855513,"Looncomponent"
